               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.031706,            0.015907,            0.035119,             0.64907,             0.59117,             0.65044,             0.35264,            0.032605,           0.0058386,            0.027369,            0.002872,            0.002872,            0.002872
                 110,            0.031701,            0.015977,            0.034809,             0.64846,             0.58838,              0.6513,              0.3528,            0.032608,           0.0058382,            0.027365,            0.002806,            0.002806,            0.002806
                 111,            0.031384,            0.015792,            0.034271,             0.63946,             0.59798,             0.65173,             0.35234,            0.032609,           0.0058369,            0.027352,             0.00274,             0.00274,             0.00274
                 112,            0.031519,            0.015962,            0.034501,             0.62272,             0.61115,             0.65235,             0.35216,            0.032615,           0.0058358,            0.027342,            0.002674,            0.002674,            0.002674
                 113,            0.031624,            0.015823,            0.034459,             0.62179,              0.6146,             0.65306,               0.353,            0.032618,           0.0058339,            0.027344,            0.002608,            0.002608,            0.002608
                 114,            0.031666,            0.015744,            0.034495,             0.62128,             0.61659,             0.65309,             0.35277,            0.032616,           0.0058333,            0.027338,            0.002542,            0.002542,            0.002542
                 115,            0.031292,             0.01594,            0.033772,             0.62214,             0.61596,             0.65369,             0.35327,            0.032615,           0.0058318,             0.02733,            0.002476,            0.002476,            0.002476
                 116,            0.031496,            0.015915,            0.034642,             0.62185,             0.61418,             0.65506,             0.35339,            0.032613,           0.0058303,            0.027324,             0.00241,             0.00241,             0.00241
                 117,            0.031114,            0.015896,            0.034038,             0.62636,             0.61344,             0.65552,             0.35334,            0.032614,           0.0058293,            0.027322,            0.002344,            0.002344,            0.002344
                 118,            0.031442,            0.015839,            0.034138,             0.62368,             0.61448,             0.65481,             0.35235,            0.032617,           0.0058295,            0.027318,            0.002278,            0.002278,            0.002278
                 119,            0.030991,            0.015808,            0.033644,             0.63171,             0.60826,             0.65531,             0.35332,            0.032618,           0.0058294,            0.027315,            0.002212,            0.002212,            0.002212
                 120,            0.030986,            0.015865,            0.033965,             0.63305,              0.6065,             0.65617,             0.35254,            0.032613,           0.0058284,            0.027309,            0.002146,            0.002146,            0.002146
                 121,            0.031208,            0.015794,            0.034386,              0.6328,             0.60744,             0.65683,             0.35342,            0.032619,           0.0058276,            0.027296,             0.00208,             0.00208,             0.00208
                 122,            0.030938,            0.015673,            0.033762,             0.63249,              0.6094,             0.65682,             0.35408,            0.032616,           0.0058277,            0.027296,            0.002014,            0.002014,            0.002014
                 123,            0.031134,             0.01558,            0.033801,             0.63235,             0.61206,             0.65625,             0.35453,            0.032615,           0.0058266,            0.027301,            0.001948,            0.001948,            0.001948
                 124,            0.031054,            0.015651,            0.033477,             0.63314,             0.61207,             0.65636,             0.35445,            0.032611,           0.0058256,              0.0273,            0.001882,            0.001882,            0.001882
                 125,            0.030791,            0.015633,              0.0332,             0.62976,             0.61366,             0.65651,              0.3547,            0.032608,           0.0058249,            0.027311,            0.001816,            0.001816,            0.001816
                 126,            0.031228,            0.015679,            0.033153,             0.62836,             0.61517,             0.65449,             0.35466,            0.032611,           0.0058251,            0.027312,             0.00175,             0.00175,             0.00175
                 127,            0.030853,            0.015657,            0.033252,             0.62686,             0.61614,             0.65438,              0.3549,            0.032609,            0.005825,            0.027315,            0.001684,            0.001684,            0.001684
                 128,            0.030808,            0.015699,            0.033607,             0.61773,             0.62346,             0.65487,             0.35489,            0.032603,           0.0058249,            0.027318,            0.001618,            0.001618,            0.001618
                 129,            0.030765,            0.015678,            0.032985,             0.62065,             0.61757,             0.65483,             0.35495,            0.032595,           0.0058241,            0.027319,            0.001552,            0.001552,            0.001552
